distributed_total_cap_gw,dist_lmp_mean_of_node_time_max,dc_vec_sum_gw,dc_vec_min_gw,dc_vec_max_gw,dc_capacity_vector_gw_json
5.1,7.226324602394697,5.099999999999998,0.39392747501248654,0.5745499350757554,"[0.44133627487724475, 0.4503179627254937, 0.39392747501248654, 0.5735040551061109, 0.5745499350757554, 0.5521077998548596, 0.488778968858047, 0.5520198457434086, 0.5364085390533521, 0.5370491436932402]"
5.2,7.2343080710632774,5.199999999999998,0.169300395544639,1.2093003955446384,"[0.8566980928669103, 1.2093003955446384, 0.169300395544639, 0.4037540900283178, 0.3406759703205381, 0.4111352873589053, 0.169300395544639, 0.8050924210022623, 0.4430877602078633, 0.39165519158128537]"
5.3,7.2300235820869565,5.299999999999997,0.47127495547764664,0.7065391908979921,"[0.6105765978483325, 0.7065391908979921, 0.47127495547764664, 0.49205353991810885, 0.494376394851684, 0.49406431103758597, 0.5579823688921637, 0.5088327199351843, 0.4866231594646359, 0.47767676167666395]"
5.4,7.218910802554164,5.399999999999998,0.26282127468116223,1.0187911543480368,"[0.30716657797483193, 1.0187911543480368, 0.26282127468116223, 0.3587094145283821, 0.4335797760056426, 0.41405820289360057, 0.9528449965255034, 0.5507473820857992, 0.5236507892617266, 0.5776304316953127]"
5.5,7.162896869978439,5.499999999999998,0.2686322760944658,1.1071769684262545,"[0.4399145246846576, 0.4780188649672519, 0.2686322760944658, 0.2686322760944658, 0.4692868195637635, 0.4665189977020989, 0.6051122011829663, 0.7066265467401548, 0.6900805245439188, 1.1071769684262545]"
5.6,7.228528392209401,5.599999999999997,0.2911946507817534,0.7172277353581695,"[0.2911946507817534, 0.5615106208460403, 0.5766174965800808, 0.6055822533848965, 0.6758311187752946, 0.6669533982492866, 0.31121362400074126, 0.7172277353581695, 0.6660949140992322, 0.5277741879245017]"
5.7,7.30253060884936,5.699999999999997,0.21699504474111608,0.9069189447481883,"[0.7586202662561966, 0.6740816701365658, 0.8046756944837045, 0.6109151075317202, 0.8383016998666534, 0.45550148275361924, 0.9069189447481883, 0.21699504474111608, 0.21699504474111608, 0.21699504474111608]"
5.8,7.034550038822019,5.799999999999996,0.2874550980501781,0.8981995314561032,"[0.29755226708810595, 0.2874550980501781, 0.48014362633174024, 0.8946837245335473, 0.8027470571247218, 0.7964050072281488, 0.2874550980501781, 0.8981995314561032, 0.7417201535029107, 0.3136384366343619]"
5.9,7.267453023513894,5.899999999999996,0.2944877897618462,0.8950718759973411,"[0.2944877897618462, 0.5852268269169472, 0.36957150331911676, 0.5123968724294599, 0.8011519251763437, 0.777284467946338, 0.2944877897618462, 0.8950718759973411, 0.8635496594119677, 0.5067712892787892]"
6.0,7.250342448217619,5.999999999999995,0.28479579953965045,0.8313940640925385,"[0.28479579953965045, 0.8313940640925385, 0.4593042151880497, 0.5205625449891308, 0.823013338012283, 0.7594285859563051, 0.77858328124056, 0.47649476869941354, 0.5357778023262323, 0.5306455999558318]"
6.1,7.747581575752639,6.099999999999994,0.19389054934243527,1.212205183228517,"[1.1630720496340643, 1.212205183228517, 0.537450106039684, 0.19389054934243527, 0.9265395404634809, 0.3503043323992807, 1.1348665908652267, 0.19389054934243527, 0.19389054934243527, 0.19389054934243527]"
6.2,7.601223803124946,6.199999999999996,0.1805429866777675,1.4205429866777664,"[0.1805429866777675, 0.1805429866777675, 0.1805429866777675, 0.1805429866777675, 0.6260295880912345, 0.8000049066809773, 0.1805429866777675, 1.0545020930726607, 1.3962054920885194, 1.4205429866777664]"
6.3,7.409521409495306,6.299999999999994,0.5529218566786684,0.8005743858061566,"[0.648795487587611, 0.6769104606146192, 0.6102420024793166, 0.8005743858061566, 0.6010789467638142, 0.5612743755161299, 0.6767740094406016, 0.5529218566786684, 0.5720710962519504, 0.5993573788611262]"
6.4,7.300525081587688,6.399999999999993,0.3356286860012385,1.6024313991922736,"[0.5509804678305158, 0.431029846162722, 0.3356286860012385, 0.34422257383906457, 0.34828868470909147, 0.34725929371092173, 0.9990147619224852, 0.5062689769466825, 0.934875309684998, 1.6024313991922736]"
6.5,7.560559565218389,6.499999999999994,0.25710254175887837,1.4049308020848423,"[0.651558604867608, 0.25710254175887837, 1.2724605607764061, 1.4049308020848423, 0.7937501719326875, 0.8276065194054495, 0.25710254175887837, 0.37927162908830525, 0.35634013639644146, 0.29987649193049726]"
6.6,7.94725959768824,6.599999999999992,0.32891638185791494,1.4524650416784228,"[1.4131561650486488, 1.4139629997702028, 0.32891638185791494, 0.3319282111783497, 0.3339028534500613, 0.3330487510378232, 1.4524650416784228, 0.33199437955708566, 0.33170883456356753, 0.32891638185791494]"
6.7,7.94899620906212,6.699999999999992,0.24990786380223337,1.5899078638022317,"[1.5899078638022317, 1.5899078638022317, 0.2695283746836692, 0.24990786380223337, 0.27877780031308375, 0.24990786380223337, 1.5899078638022317, 0.24990786380223337, 0.24990786380223337, 0.38233877838761055]"
6.8,7.795219311293105,6.799999999999991,0.3446078799964249,1.7046078799964235,"[0.7564001180432414, 1.7046078799964235, 0.6145181070538372, 0.3446078799964249, 0.6116657503007061, 0.45932447978124225, 0.3446078799964249, 0.65787364870194, 0.423652403624695, 0.8827418525050563]"
6.9,7.735141199485837,6.899999999999991,0.2759999999999995,1.6559999999999981,"[0.2759999999999995, 0.2759999999999995, 0.2759999999999995, 0.2759999999999995, 0.2759999999999995, 0.2759999999999995, 0.2759999999999995, 1.6559999999999981, 1.6559999999999981, 1.6559999999999981]"
7.0,7.991445713534019,6.999999999999991,0.33495237197471966,1.617633782108366,"[1.1763715210655064, 1.0594193408090518, 1.1368611241687494, 0.33495237197471966, 0.33495237197471966, 0.33495237197471966, 1.617633782108366, 0.33495237197471966, 0.33495237197471966, 0.33495237197471966]"
